VMUE	VMSS
29.05	40.87
31.30	47.43
31.19	51.46
34.04	45.73
25.58	49.57
29.53	57.20
38.19	52.04
36.21	56.39
27.95	49.24
22.16	58.39
15.04	60.48
20.09	69.72
31.06	58.93
28.38	65.53
31.84	67.28
35.74	64.38
33.55	72.72
20.55	68.05
14.66	64.64
20.40	66.66
23.36	68.45
21.24	68.37
22.74	66.65
25.08	67.77
24.14	57.90
23.59	58.14
24.91	62.93
27.26	61.96
25.03	61.35
26.78	53.64
32.68	51.60
36.59	55.11
30.51	48.11
29.50	46.10
39.61	42.69
34.05	39.74
32.33	38.02
42.58	35.39
38.83	33.46
33.09	36.99
30.73	35.93
36.30	35.42
29.03	35.28
35.70	27.80
23.39	28.02
33.23	30.89
30.73	37.95
30.71	39.96
30.58	31.51
37.84	50.47
38.21	51.28
31.71	45.96
30.91	43.95
24.14	45.44
27.09	47.84
23.43	27.40
23.20	29.05
28.46	25.92
31.51	23.67
34.69	27.60
27.56	21.83
22.86	25.81
31.96	25.66
18.20	22.70
17.88	12.91
28.41	35.65
34.58	21.85
28.01	23.25
35.48	33.48
29.91	39.86
34.51	37.42
30.63	36.25
33.28	33.18
37.43	37.32
43.68	39.31
41.63	42.51
40.14	35.02
42.68	22.85
36.03	28.45
27.64	34.01
31.95	41.65
29.81	44.92
31.64	46.57
29.45	46.02
34.65	37.62
39.50	34.29
31.20	38.45
35.26	32.45
38.98	31.29
44.00	65.79
40.09	22.78
35.84	16.84
41.46	23.86
38.35	24.48
47.13	31.87
39.21	32.22
37.98	27.67
36.74	39.65
28.74	29.86
26.49	21.32
33.36	15.19
36.50	8.95
33.09	20.01
33.08	29.62
38.39	43.72
35.91	16.78
34.84	19.95
34.36	35.62
47.11	22.67
43.26	21.26
51.89	33.68
44.18	30.31
49.61	19.70
41.75	18.81
43.96	20.81
41.83	19.70
40.24	29.57
41.43	27.31
46.13	30.99
41.49	31.84
40.85	37.29
47.64	41.13
43.15	35.40
41.49	31.31
49.00	28.14
46.65	18.69
56.31	12.24
54.70	19.60
54.19	24.63
48.91	26.19
12.09	29.87
15.69	27.62
11.95	29.92
10.84	25.76
10.75	19.59
13.54	14.34
8.21	12.04
10.08	17.96
16.56	18.58
11.24	16.68
17.71	18.05
19.18	21.49
13.31	23.35
18.73	29.49
18.83	34.22
14.81	46.59
23.35	49.76
22.80	45.62
20.30	45.21
16.44	45.56
20.10	40.15
24.54	41.51
25.94	42.47
21.96	40.94
26.99	33.58
32.33	32.36
18.75	29.49
20.89	31.26
26.43	32.54
28.96	21.26
28.26	15.77
34.03	18.66
37.18	10.90
24.88	7.79
28.55	4.78
40.91	7.20
30.73	12.80
26.93	4.21
29.54	1.10
31.01	6.40
30.83	1.14
27.91	3.77
28.28	2.54
30.68	5.02
35.45	8.08
32.51	6.81
33.73	4.62
30.10	4.32
33.30	6.57
29.34	6.49
29.11	5.36
32.61	4.22
30.16	5.98
35.48	7.17
38.61	5.04
29.14	4.80
33.13	6.39
30.30	7.34
27.21	8.64
33.44	10.31
38.68	10.96
35.55	10.69
32.99	12.45
41.41	14.64
41.55	17.80
44.34	17.03
49.48	13.27
38.78	14.71
38.26	18.34
40.91	24.18
39.05	22.45
44.40	19.88
41.76	17.99
41.51	13.79
46.66	21.20
56.15	20.37
51.50	26.51
52.55	26.92
60.03	26.94
62.58	27.18
65.11	23.10
66.94	29.19
56.74	26.83
48.96	31.06
49.15	36.70
48.26	34.39
48.58	33.62
41.25	40.83
49.63	38.28
54.34	38.98
41.41	31.30
50.36	32.87
41.91	33.55
35.09	29.20
31.13	29.56
25.75	30.07
26.29	27.27
24.93	25.73
20.23	29.74
18.94	27.39
28.55	30.84
24.33	28.27
22.64	24.79
37.79	24.80
32.34	26.51
37.34	24.29
33.28	27.91
44.71	32.04
35.00	39.39
34.28	41.52
33.38	38.35
36.83	39.14
36.78	44.48
33.43	55.47
35.94	40.52
34.24	47.07
27.20	51.46
27.46	42.07
23.29	51.96
14.58	50.07
14.66	40.89
15.96	46.04
25.96	49.61
38.04	52.18
43.59	58.66
40.95	59.58
38.68	68.09
50.31	65.31
52.63	63.09
44.30	58.54
43.01	54.28
41.40	46.84
42.66	45.72
42.28	43.78
49.45	47.09
47.46	48.68
45.13	48.09
45.50	37.79
44.98	44.51
47.51	41.25
42.63	35.47
42.19	31.56
42.50	19.87
38.31	20.37
