VMUE	VMSS
35.36	36.93
37.18	35.46
37.34	34.34
30.45	30.00
29.85	36.48
31.20	39.02
38.00	45.70
39.28	40.21
37.75	43.90
38.50	42.79
36.09	46.24
43.78	53.74
46.36	52.39
42.56	42.87
50.14	43.62
49.58	39.31
43.10	38.51
44.30	40.95
42.21	45.74
42.34	37.76
38.74	33.19
42.41	31.50
35.86	36.07
33.49	28.56
35.96	32.45
23.51	31.13
30.29	31.97
34.55	32.61
30.74	26.64
25.01	26.71
23.49	30.04
27.23	30.71
25.09	29.28
27.41	28.85
30.23	29.94
23.64	29.75
18.91	27.72
37.40	30.56
41.23	31.50
28.88	26.35
34.75	30.33
35.41	28.38
40.63	28.16
29.29	29.91
35.25	28.34
34.55	35.66
37.24	38.95
39.30	48.16
46.26	54.47
50.41	63.54
57.08	64.45
65.41	64.16
65.24	65.96
54.96	62.89
55.58	57.23
53.53	52.73
51.70	55.36
45.56	54.02
50.05	49.97
45.90	47.74
39.64	46.95
41.79	52.38
48.29	51.08
49.39	51.07
55.13	50.46
62.98	57.48
57.11	62.90
56.31	61.34
56.60	63.33
61.16	63.21
57.71	60.37
53.56	60.72
55.40	54.58
54.80	56.03
52.64	59.43
54.09	64.42
50.75	51.13
48.64	50.79
49.80	48.94
43.41	45.46
46.45	42.25
48.55	40.77
44.35	40.65
43.34	42.40
40.79	43.60
46.23	39.99
51.54	40.06
52.86	40.06
56.13	37.04
51.93	35.97
48.76	33.62
47.08	24.14
35.63	23.35
36.00	27.63
48.15	43.51
49.79	51.75
51.84	58.38
62.15	66.06
64.46	68.90
64.53	69.34
61.59	53.42
59.45	60.69
58.56	61.12
55.99	60.96
56.40	62.08
56.84	60.83
51.79	74.63
57.33	66.04
60.79	71.15
64.79	74.58
74.39	81.38
68.55	86.46
82.84	87.47
87.05	86.81
79.23	95.84
86.03	106.03
83.74	91.74
89.60	94.21
86.56	97.01
94.30	98.60
87.24	92.69
80.63	99.25
72.40	98.94
74.38	94.97
71.06	89.85
70.90	76.65
72.61	69.75
68.10	52.57
58.89	60.51
57.10	56.71
49.70	47.58
48.45	45.65
47.71	36.78
49.40	34.88
57.28	28.58
54.03	29.60
47.01	26.54
48.19	27.38
40.25	28.25
43.38	27.22
40.54	29.21
42.69	28.64
41.91	34.64
39.55	52.66
41.73	61.24
55.54	62.33
62.51	65.71
62.40	60.15
57.10	54.24
50.95	49.28
52.20	51.12
52.51	61.66
54.83	55.57
66.54	72.69
66.94	70.77
58.26	56.52
57.01	64.78
61.80	71.91
66.99	68.54
61.94	71.05
60.56	66.18
62.26	69.17
61.21	69.53
59.94	53.26
46.59	51.80
51.35	57.07
53.41	59.19
47.88	61.90
45.43	53.84
45.26	49.52
42.80	44.23
39.48	41.49
37.64	37.30
34.68	29.60
24.91	22.15
15.10	18.23
22.71	21.65
20.28	21.52
17.00	15.28
21.74	14.11
15.73	15.98
7.55	17.72
13.38	15.91
19.56	15.03
15.31	13.51
16.63	16.66
18.36	14.16
16.96	14.58
22.74	13.29
19.29	17.15
26.01	21.13
33.94	37.94
35.85	46.99
39.68	63.14
46.51	74.58
51.28	71.66
45.09	66.84
38.58	60.98
38.19	55.62
32.63	58.88
38.45	46.85
41.55	50.14
52.85	57.27
52.43	50.24
44.28	49.72
47.59	53.17
40.60	63.01
50.35	54.78
48.43	60.53
40.99	57.34
44.79	53.24
43.54	66.96
48.09	57.68
50.08	50.35
47.93	41.35
49.08	39.45
38.14	39.44
44.06	36.30
41.05	34.16
34.53	32.66
37.33	32.55
34.96	25.74
33.54	29.51
29.44	28.73
24.76	24.76
27.43	25.68
23.85	25.63
41.51	28.19
37.30	27.09
36.84	24.36
24.55	20.40
17.24	21.50
17.63	19.63
21.73	16.29
22.84	15.15
18.39	16.20
18.08	18.03
16.63	19.32
20.55	25.10
23.91	36.48
23.76	39.66
19.60	43.75
18.86	36.96
23.28	33.16
23.04	33.62
23.49	34.30
19.06	40.92
24.16	27.53
18.50	22.89
13.54	24.62
21.38	26.89
22.95	27.05
18.40	28.35
20.09	29.89
24.43	34.36
27.96	37.16
12.46	27.86
20.19	45.70
17.21	37.62
26.98	32.81
23.45	36.49
26.75	34.79
34.93	33.52
31.36	41.64
34.24	28.51
29.98	19.34
26.01	19.25
19.53	23.00
17.59	24.29
19.43	29.01
